acc_top_1,acc_top_5,train_loss,train_score
0.014084507042253521,0.03722334004024145,6.452207190007212,0.05716939706130721
0.059356136820925554,0.14285714285714285,5.275784696851458,0.14786353656476947
0.14587525150905434,0.32193158953722334,3.755491449505171,0.2960648539098125
0.21629778672032193,0.4104627766599598,2.358239033794146,0.497044418172606
0.25553319919517103,0.4567404426559356,1.3300857124624226,0.667792602600912
0.2665995975855131,0.5080482897384306,0.6835183364683084,0.7595845296402635
0.23440643863179075,0.48993963782696176,0.36244739837080964,0.747677757135619
0.22535211267605634,0.4859154929577465,0.2131243934829762,0.6914372572200642
0.2112676056338028,0.49798792756539234,0.19664642661609097,0.6475257557844959
0.18209255533199195,0.4939637826961771,0.10599869872742104,0.5884985644316838
0.19416498993963782,0.4939637826961771,0.0838225325657371,0.5586049653774701
